Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
Dương địa hoàng,Digitalis purpurea L.,0,Scrophulariaceae,Chữa bệnh tim (Lá chứa Digitalin).,Lao Cai. Cây nhập trồng. Nguồn gốc từ châu Âu.,V-IX
Thăng mộc núi,Anadendrum montanum (Blume) Schott,0,Araceae,"Phù thũng, sốt (cả cây). Ở Trung Quốc (Vân Nam), cây còn được dùng chữa bướu, ung sang thũng độc, rắn cắn, sốt rét, tổn thương do bị đánh, bị ngã (Lá, rễ).","Hà Tây, Hoà Bình, Thừa Thiên Huế, Quảng Nam, Gia Lai. Cây mọc tự nhiên, sống phụ sinh trên cây gỗ, dưới tán rừng thường xanh",0
Đuôi chó gié,Myriophyllum spicatum L.,0,Haloragaceae,Chữa lỵ mãn tính (Lá).,"Vĩnh Phúc, Hà Nội, Nam Định, Ninh Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên ở các ruộng nước",0
"Đinh hương, Teng hom (Tày)",Syzygium aromaticum (L.) Merr. et Perry – Caryophyllus aromaticus L.,0,Sim (Myrtaceae),"Chữa đau bụng, nấc, sát trùng trong nha khoa, kích thích tiêu hoá. Dùng ngoài để xua bóp, nắm bó gãy xương, chữa phong thấp, đau xương, nhức mỏi, lạnh chân tay.",Cây nhập trồng,0
Nưa,Amorphophallus konjac K. Koch. – Brachyspatha konjac (Koch) Koch ex Ender,0,Araceae,"Chữa bệnh đường hô hấp, cảm cấm khẩu, bệnh về đường tiêu hoá, sốt rét, trục thai lưu (củ).",Cây mọc tự nhiên ở nơi sáng của các tỉnh Miền Bắc Việt Nam,0
"Bách nhật, Cúc bách nhật, Bách nhật hồng",Gomphrena globosa L.,0,Amaranthaceae,"Cả cây chữa hen suyễn, lợi tiểu, trẻ em bị sốt. Hoa chữa hen phế quản, viêm khí quản; ho gà, lao phổi và ho ra máu; đau mắt; trẻ em khóc thét về đêm; lỵ. Cây tươi giã đắp hoặc nấu nước tắm chữa bệnh ngoài ra, rửa vết thương bầm giập.",Cây trồng làm cảnh phổ biến ở Việt Nam. Nguồn gốc từ Ấn Độ.,IV-IX
"Minh ty sóng, Vạn niên thanh sóng",Aglaonema costatum N. E. Brown,0,Araceae,"Giảm sốt, rắn cắn, nhuận tràng, bệnh đường hô hấp (cả cây).","Quảng Trị, Đắk Lắk. Cây mọc tự nhiên nơi bóng, ẩm, trên núi đá vôi hay ven suối; cũng được trồng làm cảnh.",0
"Dó thon, Tổ kén lá mác",Helicteres lanceolata DC.,0,Sterculiaceae,"Chữa cảm, ho, sởi, lỵ (Rễ).","Đà Nẵng đến Tây Nguyên. Cây mọc tự nhiên trên đất hoang, bình nguyên.",VI-XII
"Xương rồng bà có gai, Vợt gai, Tiên nhân chưởng",Opuntia dillenii (Ker- Gawl.) Haw. – Cactus dillenii Ker- Gawl.,0,Cactaceae,"Chữa báng, lỵ, trĩ ra máu, đau dạ dày, ho, đau họng, sưng lá lách, quai bị, nhọt độc, sưng vú, bỏng lửa (cả cây).","Cây nhập trồng, nay trở thành hoang dại, phổ biến trên đất cát hoang dọc bờ biển nước ta.",I-XII
Cam núi,Toddalia asiatica (L.) Lam. – Paullinia asiatica L.,0,Cam quýt (Rutaceae ),"Chữa lỵ, ho, điều kinh, bó gãy xương, vết thương chảy máu (Vỏ rễ). Mụn nhọt, rắn cắn (Lá). Không dùng cho phụ nữ có thai. Ở Ấn Độ, cây được dùng chữa lỵ, thể lực yếu sau cơn sốt. Lá chữa đau bụng, bệnh về phổi. Quả chữa ho. Rễ chữa trướng bụng, ăn uống khó tiêu.","Lào Cai, Ninh Bình đến Quảng Trị. Cây mọc tự nhiên trong rừng thưa, ven đường, ở độ cao dưới 1.500 m.",Tháng V-XI
"Xuyên khung, Sang sông (Hmông), Khung cùng",Ligusticum wallichii Franch.,0,Apiaceae,"Điều kinh, kinh nguyệt không đều, bế kinh đau bụng, ngực bụng đầy trướng, nhức đầu, cảm mạo, phong tê thấp, đau dạ dày, phụ nữ sau khi sinh bị rong huyết (Thân rễ).","Lao Cai (Bắc Hà), Lai Châu (Sìn Hồ), Thanh Hoá (Lục Vịn huyện Bá Thước). Cây nhập trồng, nguồn gốc từ Trung Quốc..",VIII-X
Cỏ cháy,Carpesium cernuum L.,0,Cúc – Asteraceae,"Trị sưng đau họng, sưng tuyến sữa, bệnh quai bị, đau răng do phong hỏa, mụn nhọt, sưng độc và sốt rét (cả cây); lỵ, đau răng, đau tử cung và thoát giang (rễ).","Lào Cai (Sa Pa), Hà Giang Đồng Văn), Cao Bằng Nguyên Bình), Lạng Sơn, Hà Nội.",Tháng 8 – 12. 
Giổi lụa,Magnolia odora (Chun) Figlar & Noot. – Tsoongiodendron odorum Chun,0,Magnoliaceae,"Chữa đau dạ dày, ho, hen phế quản (Vỏ cây).","Yên Bái, Lạng Sơn, Quảng Ninh, Hà Tĩnh. Cây mọc tự nhiên rải rác trong rừng, ở độ cao 300-1.000 m. Loài hiếm có nguy cơ bị tuyệt chủng, đã đưa vào Sách Đỏ Việt Nam.",III-IV; 6-10
"Mua đỏ, Mua hoa đỏ",Oxyspora paniculata (D. Don) DC. – Arthostemma paniculata D. Don,0,Melastomaceae,"Ho, thổ huyết, phong tê thấp (Rễ). ỉa chảy, lỵ amíp, trẻ em cam tích (Lá). Còn dùng chữa đau dạ dày, kinh nguyệt quá nhiều (Rễ).","Hà Giang, Lào Cai, Điện Biên. Cây mọc tự nhiên ở vùng núi cao.",V-XI
Biệt sâmTên gọi khác: Rung rúc lá lớn,Berchemia giraldiana C.K.Schneid.,0,Táo (Rhamnaceae),"Chữa thấp khớp, chữa đau lưng mỏi gối, sốt rét, ỉa chảy, đau bụng kinh, lao phổi, tràng nhạc, trẻ em cam tích, viêm gan, Giun chui vào ống mật, rắn độc cắn, đòn ngã tổn thương (cả cây).","Quảng Trị (Động Chê), Khánh Hoà ( Nha Trang), Lâm Đồng, Kon Tum. Cây mọc tự nhiên, rải rác ven rừng, trong rừng thưa",0
Mơ tam thể,Paederia lanuginosa Wall.,0,Rubiaceae,"Kiết lỵ, sốt, viêm đại tràng (Lá). Còn chữa viêm tai chảy mủ hay nước vàng.","Cây mọc tự nhiên, còn được trồng khá phổ biến ở Việt Nam.",VIII-X
"Lá giang, Dây giang, Dây cao su hồng.",Urceola rosea (Hook. et Arn.) Middl. – Edysanthera rosea Hook. et Arn.,0,Apocynaceae,"Chữa sỏi đường tiết niệu, viêm thận mãn, phong thấp, ăn không tiêu, trẻ em bị kinh phong (cả cây).","Cây mọc tự nhiên nơi ẩm và sáng trong rừng thưa, trên đồi cây bụi, phổ biến ở các tỉnh miền núi phía Bắc.",VIII-IX; 10-1 
Trang henry,Ixora henryi Levl.,0,Rubiaceae,"Trĩ, ho tức ngực, phong tê thấp, lao phổi (Thân rễ). Huyết áp cao (Lá).","Vĩnh Phú, Hoà Bình. Cây mọc tự nhiên trên đồi cây bụi, trong rừng thưa.",II-IV; 7-10
"Tai nghé lông, Thàu táu lông",Aporosa villosa (Lindl.) Baill.,0,Euphorbiaceae,Chữa hủi (Lá).,Cây mọc tự nhiên ở rừng thường xanh và nửa rụng lá từ vùng thấp tới vùng cao,0
Kiều mạch,Avena sativa L.,0,Poaceae,"Thuốc bổ, ỉa chảy, tỳ hư (Hạt).",Cây trồng ở vùng núi cao Hà Giang.,0
Dứa mỹ mép trắng,Agave angustifolia Haw. var. marginata Trev.,0,Agavaceae,Chữa tê thấp (Lá).,Cây nhập trồng,0
Ruối rừng,Streblus indicus (Bur.) Corn. – Pseudostreblus indica Bur.,0,Moraceae.,"Xuất huyết đường tiêu hoá, đau dạ dày, ngoại thương xuất huyết, gãy xương, đòn ngã tổn thương (Vỏ thân).","Gia Lai. Cây mọc tự nhiên ở rừng, dựa suối, ở độ cao tới 1000 m.",4-9
Cào cào lam,Burmannia coelestis D. Don,0,Burmanniaceae,Chữa trẻ em cam tích (cả cây).,"Lai Châu, Hà Giang, Ninh Bình (Kẻ Bao), Đồng Nai (Biên Hòa), Bà Rịa Vũng Tàu. Cây mọc tự nhiên trên bãi cỏ ven đường, bãi cỏ tranh, ven suối.",V-XII
"Giâu gia quả nhọn, Gạt nai, Săng vé, Săng ớt mốc",Baccaurea oxycarpa Gagnep.,0,Euphorbiaceae,"Chữa thấp khớp (Lá, hoa).","Cây mọc tự nhiên nơi ẩm dọc các sông suối tỉnh Quảng Bình, Quảng Trị, Thừa Thiên Huế.",10
Cù đèn trà.Tên gọi khác: Côn trà,Croton potabilis Croiz.,0,Họ thực vật: thầu dầu (Euphorbiaceae),Kích thích thần kinh (Lá).,"Quảng Trị (Mai Lãnh), Thừa Thiên Huế, Đà Nẵng, Quảng Nam. Cây ưa sáng, mọc tự nhiên trên các trảng thường xanh hay rụng lá, trên đất khô cằn, ở độ cao 100-500 m. Loài đặc hữu của Việt Nam.",V 
"Cây mắm, Mắm đen",Avicennia offcinalis L.,0,Verbenaceae,"Thuốc làm xe. Chữa đậu mùa, hủi ở thời kỳ đầu (Vỏ). Hạt làm thuốc kích dục.","Cây mọc tự nhiên ở các cửa sông, phổ biến ở các tỉnh phía Nam.",Gần như quanh năm.
"Riềng không mũi, Riềng hoa thưa","Alpinia mutica Roxb. (Languas mutica (Roxb.) Merr., L. korthalsii (K. Schum.) Merr., Alpinia korthalsii K. Schum.)",0,Gừng – Zingiberaceae,Chữa đau dạ dày và đau bụng (thân rễ).,"Đồng Nai, Tp. Hồ Chí Minh",0
"Mía, Cam giá, Lằm ỏi (Tày), Co ói (Thái), Tào (Kho)",Saccharum officinarum L.,0,Poaceae,"Giải nhiệt, tiêu đờm, bổ ruột (Thân ép nước uống).",Cây trồng phổ biến ở Việt Nam.,X-XII 
Dây cánh dơi,Passiflora cupiformis Mast.,0,Họ Lạc tiên (Passifloraceae),"Toàn cây có tác dụng giải độc, tán ứ, hoạt huyết, dùng đắp ngoài cầm máu vết thương, chữa ung nhọt, rắn độc cắn. Nước sắc uống chữa viêm gan, sốt rét, liệt do phong thấp.","Lào Cai, Vĩnh Phúc, Đà Nẵng, mọc rải rác trong các thân cỏ, trảng cây bụi trong hẻm núi, ở độ cao 1.000-3.000 m",0
"Thanh thiên quỳ xanh, Trân châu xanh",Nervilia aragoana Gaudich. ,0,Orchidaceae,"Ho, ho ra máu, lao phổi, đòn ngã tổn thương, ứ kết sưng đau và bệnh tràng nhạc.","Lao Cai, Hà Giang, Cao Bằng, Sơn La, Hoà Bình. Cây mọc tự nhiên trong các rừng thưa nơi ẩm, nhiều mùn, các hốc đá nơi rợp bóng, ở độ cao 200-500 m.",III-IV; 5-7
Dầu song nàng,Dipterocarpus dyeri Pierre ex Laness.,0,Họ Dầu (Dipterocarpaceae),"Chữa lậu, bệnh ngoài da khác (Dầu bôi).","Kon Tum, Gia Lai, Bình Phước, Bình Dương, Tây Ninh, Đồng Nai. Cây mọc tự nhiên rải rác trong rừng nhiệt đới thường xanh, ở độ cao 800 m. Loài đã được đưa vào sách đỏ Việt Nam. Khung phân hạng (VU).",XI-IV; 12-8
"Chè bọt, Diện mật khuôn",Glochidion eriocarpum Champ.,0,Euphorbiaceae,"Chữa lỵ, viêm ruột, dị ứng, Eczema, phạm phòng (Rễ).","Lào Cai, Tuyên Quang, Quảng Ninh, Ninh Bình, Kon Tum. Cây mọc tự nhiên trong rừng thường xanh hay rụng lá, ở độ cao 100-500 m.",IV-V; 6-11
Xương cá,Xylocarpus granatum Koenig,0,Meliaceae,"Thuốc bổ đắng, lỵ, ỉa chảy, bệnh rối loạn ruột, hạ nhiệt (Vỏ).","Cây mọc tự nhiên ở vung rừng ngập mặn, nước lợ của nước ta.",X-XII; 2-7
Chín từng,Pogostemon auricularis (L.) Hassk. var. giganteus (Doan) Phamh. – Dyophylla auricularia Blume var. gigantea Doan,0,Lamiaceae.,"Cả cây làm thuốc chữa rối loạn tiêu hoá, đau dạ dày, tê thấp.","Ninh Thuận (Phan Rang, Cà Ná). Cỏ mọc nơi sáng và ẩm, ven bờ sông suối, ao hồ, bờ đầm",0
"Dưa trời, Khố áo lá tim",Thladiantha cordifolia (Blume) Cogn. – Luffa cordifolia Blume,0,Cucurbitaceae,"Thuốc giải độc, tiêu viêm nhiễm độc (Rễ củ).","Lao Cai (Sa Pa), Lai Châu. Cây mọc tự nhiên trong rừng thưa, dọc theo khe suối ở vùng núi đá vôi",0
"Riềng nếp, Hồng đậu khấu, Sơn nại, Sơn khương tử","Alpinia galanga (L.) Willd. (Maranta galanga L., Languas galanga (L.) Merr., Amomum medium Lour.)",0,Gừng – Zingiberaceae,"Chữa đau bụng, tiêu chảy, nôn mửa, lỵ, ngộ độc thịt cóc, làm thuốc làm khỏi khát và đỡ mệt khi làm việc mệt nhọc hoặc đi nắng nhiều khát nước (thân rễ).",Cây trồng và mọc hoang ở nhiều nơi.,Tháng 6 – 9.
"Cốt mà.Tên gọi khác: Đông ba, Trái có cọng, Đậu ma",Dunbaria podocarpa Kurz,0,Đậu (Fabaceae),"Thuốc bổ, tăng lực (Rễ). Sưng yết hầu (Lá).","Cao Bằng, Lạng Sơn, Kon Tum, Đắk Lắk, Gia Lai, Lâm Đồng. Cây mọc tự nhiên trên các trảng cỏ và cây bụi, trong rừng thưa và rừng thông, ở độ cao tới 1500 m.",VIII-XII.
Bạc đầu ba bông,Kyllinga triceps Rottb.,0,Cyperaceae,"Chữa phong thấp đau xương, đòn ngã tổn thương (cả cây).",Cây mọc tự nhiên.,6-12
Dương xỉ thường,Christella parasitica (L.) H. Lev. – Cyclosorus parasiticus (L.) Farw.,0,Thelypteridaceae,"Thuốc cầm máu, lành vết thương (Lá).","Cây mọc tự nhiên trong rừng ẩm, khá phổ biến ở Việt Nam",0
Ráng yểm dực ba thuỳ,Tectaria subtriphylla (Hook. et Arn.) Copel.,0,Aspidiaceae,"Viêm bàng quang, viêm đường tiết niệu (cả cây).","Cao Bằng, Bắc Giang, Thừa Thiên Huế. Cây mọc tự nhiên trên sườn núi đá vôi, trên vách đất bờ tre quanh làng vùng đồng bằng",0
Cà di xoan,Lyonia ovalifolia (Wall.) Drude – Andromeda avalifolia Wall.,0,Đỗ quyên (Ericaceae),Chữa bệnh ngoài da (Lá).,"Lào Cai, Hà Giang. Cây mọc tự nhiên vùng núi cao.",VIII-XII.
Thạch vi bắc bộ,Pyrrosia porosa var. tonkinensis (Giesenh.) Hovenkamp,0,Polypodiaceae,"Lậu, lợi tiểu (Lá).","Lao Cai, Cao Bằng, Hà Nội (Ba Vì). Cây mọc tự nhiên, thường sống bám trên bề mặt hay khe đá giàu mùn, ở ven rừng rậm thường xanh, độ cao thường gặp từ 300 – 1500m",0
Chu láng,Skimmia arborescens Anders. ex Gamble ssp. nitida N.P. Taylor & Airy-Shaw,0,Rutaceae.,"Chữa ho, phong tê thấp (Cành lá).","Lào Cai (Fan-Si-Pan), Hòa Bình (Chợ Bờ), Kon Tum (Đắk Glei), Khánh Hòa, Đồng Nai. Cây mọc tự nhiên trong rừng thưa ở độ cao 1100 m.",IV-VI
"Mộc hương lá dài, Tạc lá dài",Xylosma longifolia Clos,0,Flacourtiaceae,"Hoàng đản, thuỷ thũng, lưu thai (Vỏ rễ). Đòn ngã ứ đau, gãy xương, sai khớp, ngoại thương xuất huyết (Rễ, lá).","Hoà Bình, Cao Bằng, Kon Tum. Cây mọc tự nhiên trong rừng thưa dưới 1000m.",XI – XII 
So đũa,Sesbania grandiflora (L.) Pers. – Robinia grandiflora L.,0,Đậu (Fabaceae),"Tưa lưỡi, đau bụng, vàng da, khai vị, tả, ho (Vỏ sắc uống).","Cây mọc tự nhiên, thường được trồng từ Miền Trung trở vào các tỉnh Đồng Bằng Sông Cửu Long.",X – III
"Tầm sét, Chìa vôi, Bìm tay, Bũn bĩn xẻ ngón, Khoai xiêm, Tích lịch cặn",Ipomoea digitata L.,0,Convolvulaceae,"Lợi sữa, kích dục, nhuận gan, giảm đau, nhọt, tê thấp, trướng bụng, đau tuyến sữa (Rễ củ).",Cây mọc tự nhiên ở bờ bụi khắp nước ta.,V-VIII
Giối harmand,Clausena harmandiana (Pierre) Pierre ex Guilaum. – Glycosmis harmandiana Pierre,0,Rutaceae,"Ở Thái Lan, rễ sắc nước làm thuốc hạ sốt, chữa đầy hơi, đau dạ dày, ngộ độc thức ăn; Cũng dùng để làm dịu cơn đau đầu và viêm phế quản.","Vĩnh Phúc (Tam Đảo), Hoà Bình, Thừa Thiên Huế.",III-VII
"Hồ đằng sáu cạnh, Chìa vôi sáu cạnh",Cissus hexangularis Thorel ex Planch.,0,Vitaceae,Chữa đòn ngã tổn thương (Lá).,"Thanh Hóa, Quảng Trị, Thừa Thiên Huế tới Đồng Nai, Kiên Giang. Cây mọc tự nhiên.",IX-XII; 2-3
Hành tây,Allium cepa L.,0,Alliaceae,"Chữa ho. Thuốc long đờm, sát trùng, mọc tóc, kích thích tiêu hoá, tiết mật, chữa bí đái, đau ngực, xơ vữa động mạch, cảm cúm, mụn cóc, ong đốt (cả cây).",Cây nhập trồng,0
"Bùi xanh, Nhựa ruồi lá nhỏ",Ilex viridis Champ. ex Benth. – Ilex triﬂora var. viridis (Champ. ex Benth.) Loes.,0,Aquifoliaceae,"Chữa cảm sốt, sưng Amygdal, mụn nhọt sưng tấy, vết thương bầm tím (Rễ, lá).","Ninh Bình, Hoà Bình, Bắc Cạn, Thái Nguyên, Hà Tây. Cây mọc tự nhiên trong rừng thưa.",III-VI; 8-10
"Mây trắng, Mây dang, Mây bắc bộ",Calamus walkeri Hance. – C. tonkinensis Becc.,0,Arecaceae,Gây mất máu ở phụ nữ (Quả). Cây độc chú ý khi sử dụng.,Cây mọc tự nhiên ở rừng đồng bằng Bắc bộ và Nam bộ.,VI-VII; 10-11
Búp lệ,Buddleja davidii Franch.,0,Buddlejaceae,Chữa cam tích trẻ em (Rễ).,Cây mọc tự nhiên.,V-VII; 9-12
"Đơn lưỡi hổ, Lưỡi cọp, Lưỡi hùm",Sauropus rostratus Miq.,0,Euphorbiaceae,"Chữa phù thũng, mẩn ngứa, mề đay, cam sũng trẻ em, viêm đường hô hấp, viêm khí quản, ho ra máu (Lá).","Hòa Bình (Mai Châu, Pà Cò), Hà Nội. Cây mọc tự nhiên trong rừng thường xanh, trên đất có tầng mùn dày, ở độ cao 100-500 m; còn được trồng làm cảnh.",IV-XI 
Hu đay lá nhỏ,Trema orientalis (L.) Blume – Celtis orientalis L.,0,Ulmaceae,Lá chữa động kinh.,"Lai Châu, Hòa Bình, Thanh Hóa, Nghệ An, Đắk Lắk, Lâm Đồng. Mọc rải rác ven rừng thứ sinh, trên các trảng cây bụi, ở độ cao đến 1.700 m.",VI-VII; 9-10
"Lọng sao, Ban chủng thảo mềm",Bothriospermum tenellum (Hornem.) Fich. et Mey. – Anchusa tenellum Hornem.,0,Boraginaceae,"Ho, ho ra máu, hầu họng sưng đau, lở miệng, lưỡi, ỉa chảy, lợi tiểu, phù, lòi dom (cả cây).","Cao Bằng, Lạng Sơn. Cây mọc tự nhiên, từ thấp đến độ cao 1500 m.",2-10
Dung lụa,Symplocos sumuntia Buch._Ham. ex D. Don,0,Dung (Symplocaceae),Lá chữa đau dạ dày (kinh nghiệm của nhân dân Nghĩa Hành – tỉnh Quảng Ngãi).,"Lào Cai, Hòa Bình, Ninh Bình, Thanh Hóa, Nghệ An, Quảng Ngãi, Kon Tum. Cây mọc rải rác trong rừng thưa, rừng thứ sinh, ở độ cao đến 1.700 m.",III-IV; 5-12
"Vông đỏ, Cây sói rừng, Đom đóm",Alchornea rugosa (Lour.) Muell.-Arg. – Cladodes rugosa Lour.,0,Euphorbiaceae,"Nhuận tràng, tẩy (Hạt sắc uống). Sốt rét (Lá).","Cây mọc tự nhiên, phổ biến ở vùng đồi trung du khắp Việt Nam.",III – VI 
"Tiểu đậu khấu, Trúc sa",Elettaria cardamomum Maton,0,Zingiberaceae,"Đau dạ dày, đầy bụng, nôn ọe, hen suyễn, còn có tác dụng trừ hàn, tiêu thực, tiêu chảy (Hạt).","Lào Cai, Cao Bằng, Hà Giang. Cây trồng ở vùng núi cao",0
Mùi chó,Ammannia baccifera L.,0,Lythraceae,"Đau khớp, bệnh ngoài da, nội thương thổ huyết, viêm gan, viêm bàng quang, bạch đới, viêm gân cơ (cả cây).","Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên trên đất ruộng hoang, khô.",II-XII
Tần giao,Gentiana tibetica King,0,Gentianaceae,Bổ gân xương.,Cây nhập trồng,0
Ngôn tàu,Alyxia pseudosinensis Pitard,0,Apocynaceae,"Bệnh tim mạch. Cây có độc, chú ý khi sử dụng.","Đà Nẵng (Bà Nà), Ninh Thuận (Phan Rang, Cà Ná). Cây mọc tự nhiên ở ven rừng, trong rừng thưa, ở độ cao 300 – 900m.",XII 
"Ráy leo lá xẻ, Thượng cán lá lông chim, Ráy ngót",Epipremnum pinnatum (L.) Engl. & K. Krause,"Pothos pinnatus L., Scindapsus pinnatus (L.) Schott, Rhaphidophora pinnata (L.) Schott",Ráy – Araceae,"Chữa thấp khớp, bong gân (thân).","Hà Nội, Thừa Thiên Huế, Tp. Hồ Chí Minh.",gần như quanh năm. 
"Vi bạch cúc, Mổ tu, Thu phân thảo",Rhynchospermum verticillatum Reinv.,0,Asteraceae,"Viêm gan cổ trướng, lậu (cả cây).","Lao Cai, Kon Tum. Cây mọc ở chỗ ẩm dưới tán rừng ở độ cao 1500m.",X-XII
"Phi yến, Hoa la hét.",Delphinium ajacis L.,0,Ranunculaceae,Diệt chấy rận (Hạt).,Lâm Đồng. Cây nhập trồng làm cảnh.,I-XII
